1,Mombasa High Court,MSAHGC,MSAHGC,3,3,32
2,Mombasa ELRC,MSAERC,MSAERC,4,4,32
3,Mombasa Environment and Land Court,MSAELC,MSAELC,5,5,32
4,Kaloleni Magistrate Court,KLNMGC,KLNMGC,6,6,59
5,Mariakani Magistrate Court,MRKMGC,MRKMGC,6,6,84
6,Mombasa Magistrate Court,MSAMGC,MSAMGC,6,6,32
7,Shanzu Magistrate Court,SNZMGC,SNZMGC,6,6,107
8,Tononoka Magistrate Court,TNKMGC,TNKMGC,6,6,115
9,Mombasa Kadhi Court,MSAKDC,MSAKDC,7,7,32
10,Mariakani Kadhi Court,MRKKDC,MRKKDC,7,7,84
11,Kwale Magistrate Court,KWLMGC,KWLMGC,6,6,75
12,Kwale Kadhi Court,KWLKDC,KWLKDC,7,7,75
13,Msambweni Kadhi Court,MWNKDC,MWNKDC,7,7,133
14,Malindi Court of Appeal,MLDCOA,MLDCOA,2,2,5
15,Malindi High Court,MLDHGC,MLDHGC,3,3,5
16,Malindi Environment and Land Court,MLDELC,MLDELC,5,5,5
17,Kilifi Magistrate Court,KLFMGC,KLFMGC,6,6,71
18,Malindi Magistrate Court,MLDMGC,MLDMGC,6,6,5
19,Kilifi Kadhi Court,KLFKDC,KLFKDC,7,7,71
20,Malindi Kadhi Court,MLDKDC,MLDKDC,7,7,5
21,Garsen High Court,GSNHGC,GSNHGC,3,3,14
23,Garsen Magistrate Court,GSNMGC,GSNMGC,6,6,14
24,Hola Magistrate Court,HLAMGC,HLAMGC,6,6,54
25,Garsen Kadhi Court,GSNKDC,GSNKDC,7,7,14
26,Hola Kadhi Court,HLAKDC,HLAKDC,7,7,54
28,Lamu Magistrate Court,LMUMGC,LMUMGC,6,6,77
29,Mpeketoni Magistrate Court,MPKMGC,MPKMGC,6,6,92
30,Lamu Kadhi Court,LMUKDC,LMUKDC,7,7,77
31,Voi High Court,VOIHGC,VOIHGC,3,3,41
32,Taveta Magistrate Court,TVTMGC,TVTMGC,6,6,112
